,c_name,0
14,机械行业,8
26,酿酒行业,7
29,食品行业,4
11,房地产,4
20,生物制药,4
3,农药化肥,4
10,建筑建材,3
2,其它行业,3
28,钢铁行业,2
4,化工行业,2
9,家电行业,2
27,金融行业,1
25,酒店旅游,1
19,玻璃行业,1
24,综合行业,1
23,纺织行业,1
22,电子信息,1
21,电器行业,1
0,交通运输,1
18,物资外贸,1
17,煤炭行业,1
16,汽车制造,1
1,供水供气,1
13,服装鞋类,1
12,有色金属,1
8,塑料制品,1
7,商业百货,1
6,医疗器械,1
5,化纤行业,1
15,水泥行业,1
