,c_name,0
135,融资融券,80
40,参股金融,67
12,业绩预升,59
129,股权激励,55
146,金融参股,45
145,重组概念,34
74,新三板,27
87,次新股,26
43,含H股,26
119,社保重仓,25
54,基金重仓,24
21,保险重仓,23
67,成渝特区,20
24,信托重仓,20
13,业绩预降,19
29,军工航天,16
22,保障房,16
58,太阳能,16
147,金融改革,15
132,节能环保,15
19,低碳经济,15
59,央企50,14
159,黄河三角,14
99,海峡西岸,14
6,QFII重仓,14
10,上海本地,14
18,京津冀,14
150,长株潭,14
153,雄安新区,12
90,民营银行,12
86,核电核能,12
76,新零售,11
75,新能源,11
5,O2O模式,11
105,物联网,10
102,涉矿概念,10
69,抗癌,10
155,风能,10
36,券商重仓,10
94,污水处理,10
30,军民融合,10
84,本月解禁,10
45,固废处理,10
103,深圳本地,9
47,国企改革,9
49,土地流转,9
154,页岩气,9
72,整体上市,9
42,含B股,9
7,ST板块,9
156,风能概念,9
122,空气治理,9
33,出口退税,9
32,准ST股,9
98,海上丝路,9
123,粤港澳,8
77,日韩贸易,8
112,生物质能,8
88,武汉规划,8
100,海工装备,8
130,自贸区,8
131,节能,8
14,东亚自贸,8
149,锂电池,8
35,创投概念,8
110,生物疫苗,8
66,循环经济,7
62,安防服务,7
138,资产注入,7
25,充电桩,7
148,铁路基建,7
34,分拆上市,7
61,婴童概念,7
28,内贸规划,7
96,油气改革,7
27,养老概念,6
128,股期概念,6
115,电子支付,6
117,石墨烯,6
81,智能电网,6
31,农村金融,6
37,前海概念,6
143,迪士尼,6
51,基因概念,6
78,智能交通,5
64,广东自贸,5
116,皖江区域,5
108,生态农业,5
20,体育概念,5
152,陕甘宁,5
68,抗流感,5
157,食品安全,5
121,稀缺资源,5
0,3D打印,4
113,甲型流感,4
125,绿色照明,4
126,网络游戏,4
133,苹果概念,4
140,超大盘,4
158,高校背景,4
136,装饰园林,4
80,智能机器,4
101,海水淡化,4
15,丝绸之路,4
71,摘帽概念,4
48,图们江,4
44,含可转债,4
41,可燃冰,4
92,水利建设,4
85,机器人概念,4
11,上海自贸,4
4,IP变现,4
16,云计算,3
52,基因测序,3
137,触摸屏,3
106,特斯拉,3
97,沿海发展,3
60,奢侈品,3
26,免疫治疗,3
23,信息安全,3
151,阿里概念,3
39,卫星导航,2
9,三网融合,2
38,博彩概念,2
141,超导概念,2
2,5G概念,2
50,地热能,2
55,外资背景,2
144,送转潜力,2
56,多晶硅,2
118,碳纤维,2
73,文化振兴,2
95,汽车电子,2
109,生物燃料,2
89,民营医院,2
120,稀土永磁,2
79,智能家居,2
160,黄金概念,2
124,维生素,2
70,振兴沈阳,2
65,建筑节能,2
127,聚氨酯,2
91,氢燃料,1
104,燃料电池,1
3,IPV6概念,1
8,三沙概念,1
107,猪肉,1
93,水域改革,1
53,基因芯片,1
111,生物育种,1
134,蓝宝石,1
17,互联金融,1
139,赛马概念,1
114,电商概念,1
83,未股改,1
82,智能穿戴,1
63,宽带提速,1
1,4G概念,1
142,超级细菌,1
46,国产软件,1
57,天津自贸,1
