,c_name,0
12,业绩预升,38
38,参股金融,38
27,军工航天,27
126,重组概念,27
127,金融参股,25
111,股权激励,23
28,军民融合,22
117,融资融券,20
141,黄河三角,16
79,次新股,15
13,业绩预降,15
66,新三板,14
114,节能环保,13
59,成渝特区,13
91,涉矿概念,11
68,新零售,10
34,券商重仓,10
133,陕甘宁,10
67,新能源,10
53,太阳能,10
10,上海本地,9
5,O2O模式,9
64,整体上市,9
22,信托重仓,8
89,海峡西岸,8
16,云计算,8
45,土地流转,8
58,循环经济,8
2,5G概念,7
78,核电核能,7
72,智能机器,7
39,含B股,7
41,固废处理,6
77,机器人概念,6
128,金融改革,6
85,污水处理,6
44,图们江,6
100,皖江区域,6
113,节能,6
69,日韩贸易,6
7,ST板块,6
1,4G概念,6
33,创投概念,6
112,自贸区,6
14,东亚自贸,6
30,准ST股,6
65,文化振兴,6
26,内贸规划,6
17,京津冀,6
18,低碳经济,6
137,风能,6
131,长株潭,6
63,摘帽概念,5
142,黄金概念,5
129,铁路基建,5
21,保障房,5
118,装饰园林,5
6,QFII重仓,5
9,三网融合,5
134,雄安新区,5
92,深圳本地,5
138,风能概念,4
76,本月解禁,4
75,未股改,4
140,高校背景,4
15,丝绸之路,4
93,物联网,4
106,粤港澳,4
55,安防服务,4
29,农村金融,4
132,阿里概念,4
130,锂电池,4
47,基因概念,4
88,海上丝路,4
87,沿海发展,4
105,空气治理,3
82,民营银行,3
90,海工装备,3
102,社保重仓,3
96,生物疫苗,3
107,绿色照明,3
97,生物质能,3
80,武汉规划,3
70,智能交通,3
61,抗癌,3
56,宽带提速,3
51,多晶硅,3
43,国企改革,3
32,分拆上市,3
136,风沙治理,3
19,体育概念,3
4,IP变现,3
3,IPV6概念,3
110,股期概念,2
120,资产注入,2
121,赛马概念,2
101,石墨烯,2
122,超导概念,2
0,3D打印,2
50,基金重仓,2
73,智能电网,2
49,基因芯片,2
40,含H股,2
54,央企50,2
57,建筑节能,2
37,卫星导航,2
36,博彩概念,2
60,抗流感,2
35,前海概念,2
31,出口退税,2
24,免疫治疗,2
23,充电桩,2
84,水利建设,2
86,汽车电子,2
20,保险重仓,2
8,三沙概念,2
48,基因测序,2
25,养老概念,1
125,送转潜力,1
135,页岩气,1
139,食品安全,1
11,上海自贸,1
42,国产软件,1
46,地热能,1
99,电子支付,1
124,迪士尼,1
123,超级细菌,1
95,生物燃料,1
94,生态农业,1
103,稀土永磁,1
104,稀缺资源,1
83,氢燃料,1
108,网络游戏,1
109,聚氨酯,1
81,民营医院,1
74,智能穿戴,1
62,振兴沈阳,1
115,苹果概念,1
116,草甘膦,1
119,触摸屏,1
52,天津自贸,1
98,甲型流感,1
71,智能家居,1
