,c_name,0
41,股权激励,5
10,军工航天,4
5,业绩预降,4
27,次新股,4
18,国产软件,2
17,参股金融,2
45,重组概念,2
37,电子支付,2
12,农村金融,2
11,军民融合,2
15,券商重仓,2
8,体育概念,2
7,云计算,2
4,业绩预升,2
36,生物育种,1
38,稀缺资源,1
39,空气治理,1
35,生态农业,1
34,猪肉,1
40,网络游戏,1
0,3D打印,1
42,自贸区,1
43,节能环保,1
44,草甘膦,1
32,燃料电池,1
46,金融改革,1
47,锂电池,1
48,长株潭,1
49,风能,1
50,风能概念,1
33,物联网,1
26,本月解禁,1
31,海峡西岸,1
30,沿海发展,1
2,QFII重仓,1
3,三网融合,1
6,东亚自贸,1
9,信托重仓,1
13,准ST股,1
14,出口退税,1
16,前海概念,1
19,多晶硅,1
20,太阳能,1
21,婴童概念,1
22,宽带提速,1
23,成渝特区,1
24,整体上市,1
25,日韩贸易,1
1,IP变现,1
28,民营银行,1
29,汽车电子,1
51,黄河三角,1
