,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
1382,603998,方盛制药,0.14,-17.65,,6.0,,6092.7,-19.23,,10-30
1383,300521,爱司凯,0.13,-37.07,,3.65,,1825.25,-37.09,,10-30
1384,000821,京山轻机,0.5,127.27,,13.36,,26853.44,153.66,,10-30
1385,601101,昊华能源,0.76,46.15,,11.5,,90762.9,44.23,,10-30
1386,000850,华茂股份,0.14,468.0,,3.14,,13383.17,463.54,,10-30
1387,603356,华菱精工,0.37,-24.49,,9.86,,4979.34,2.34,,10-30
1388,000061,农产品,0.03,1637.5,,0.99,,4723.41,1655.2,,10-30
1389,600671,天目药业,0.24,248.36,,36.27,,2973.29,248.2,,10-30
1390,002864,盘龙药业,0.53,4.67,,8.05,,4626.33,39.8,,10-30
1391,603386,广东骏亚,0.31,0.0,,9.81,,6352.9,29.68,,10-30
1392,000900,现代投资,0.53,22.09,,8.96,,80027.34,22.09,,10-30
1393,002567,唐人神,0.15,-43.61,,3.42,,12689.31,-40.53,,10-30
1394,600711,盛屯矿业,0.29,13.83,,8.06,,47060.53,24.43,,10-30
1395,300284,苏交科,0.45,-16.51,,9.5,,36599.63,20.16,,10-30
1396,600337,美克家居,0.19,11.76,,6.78,,33703.05,30.37,,10-30
1397,002583,海能达,0.07,133.33,,2.3,,13144.47,155.76,,10-30
1398,000498,山东路桥,0.31,-14.62,,8.38,,35128.22,-14.63,,10-30
1399,603608,天创时尚,0.43,19.44,,9.08,,18650.43,33.7,,10-30
1400,300644,南京聚隆,0.24,-64.71,,2.36,,1465.43,-54.82,,10-30
1401,600019,宝钢股份,0.71,33.96,,9.38,,1574743.42,34.96,,10-30
1402,300026,红日药业,0.15,0.0,,7.07,,46323.28,2.73,,10-30
1403,002005,德豪润达,0.01,-110.91,,0.22,,1370.43,-113.72,,10-30
1404,002647,仁东控股,0.05,175.13,,3.49,,2973.56,312.06,,10-30
1405,601989,中国重工,0.06,8.47,,1.72,,141505.92,28.03,,10-30
1406,002663,普邦股份,0.08,4.05,,2.7,,13898.88,6.43,,10-30
1407,600815,厦工股份,-0.11,-200.0,,-21.53,,-10613.72,-197.42,,10-30
1408,300382,斯莱克,0.15,-16.67,,7.61,,8383.71,45.19,,10-30
1409,603726,朗迪集团,0.72,-21.74,,11.4,,9564.23,9.57,,10-30
1410,300075,数字政通,0.21,19.39,,4.35,,9066.4,19.31,,10-30
1411,002374,丽鹏股份,0.03,-76.92,,0.72,,2300.78,-79.22,,10-30
1412,603778,乾景园林,0.04,-42.86,,1.88,,1936.61,-42.05,,10-30
1413,000650,仁和药业,0.32,51.99,,12.41,,39276.89,51.95,,10-30
1414,603045,福达合金,0.44,-18.85,,6.06,,3714.4,-6.81,,10-30
1415,600868,梅雁吉祥,0.01,-84.53,,0.79,,1832.46,-84.6,,10-30
1416,603081,大丰实业,0.39,-7.14,,9.8,,15617.96,-1.32,,10-30
1417,002406,远东传动,0.33,57.14,,7.59,,18336.1,52.79,,10-30
1418,600529,山东药玻,0.62,-6.07,,7.85,,26240.54,31.49,,10-30
1419,000691,亚太实业,0.04,-269.19,,14.42,,1155.99,-269.17,,10-30
1420,300123,亚光科技,0.16,166.67,,1.89,,8780.32,365.32,,10-30
1421,002101,广东鸿图,0.54,-30.77,,6.39,,28471.2,19.62,,10-30
1422,603110,东方材料,0.24,-58.62,,4.51,,2856.37,-36.05,,10-30
1423,603881,数据港,0.46,15.0,,10.38,,9583.21,16.65,,10-30
1424,300139,晓程科技,0.08,-188.89,,1.93,,2185.21,-186.83,,10-30
1425,002766,索菱股份,0.15,-42.31,,3.42,,6490.08,-39.86,,10-30
1426,000731,四川美丰,0.36,57.22,,7.86,,21302.56,57.21,,10-30
1427,002133,广宇集团,0.42,147.06,,10.46,,32328.53,150.74,,10-30
1428,300478,杭州高新,0.21,-16.0,,4.64,,2645.77,57.4,,10-30
1429,002782,可立克,0.18,88.67,,9.3,,7658.51,88.67,,10-30
1430,600983,惠而浦,0.46,-757.14,,8.76,,35431.94,-725.9,,10-30
1431,600208,新湖中宝,0.21,2.49,,5.45,,177029.5,2.31,,10-30
1432,300494,盛天网络,0.22,-17.53,,5.37,,5228.15,-17.52,,10-30
1433,002470,金正大,0.3,3.45,,9.73,,95440.45,5.14,,10-30
1434,603980,吉华集团,1.1,57.14,,13.04,,54995.75,81.26,,10-30
1435,601002,晋亿实业,0.15,-11.18,,4.67,,11953.39,-11.08,,10-30
1436,002165,红宝丽,0.04,-55.56,,1.6,,2453.42,-55.15,,10-30
1437,603268,松发股份,0.29,-19.44,,5.82,,3614.08,12.5,,10-30
1438,600226,瀚叶股份,0.07,-30.0,,4.94,,21298.2,-3.02,,10-30
1439,000005,世纪星源,0.01,-141.33,,0.49,,653.2,-140.29,,10-30
1440,601949,中国出版,0.13,30.0,,4.05,,23471.73,57.08,,10-30
1441,300354,东华测试,0.02,79.0,,0.71,,248.18,80.36,,10-30
1442,603683,晶华新材,0.14,-57.58,,2.34,,1823.19,-42.27,,10-30
1443,000590,启迪古汉,-0.05,-173.82,,-1.94,,-1120.86,-176.74,,10-30
1444,600803,新奥股份,0.88,125.64,,13.87,,103484.78,169.33,,10-30
1445,002027,分众传媒,0.33,2.41,,39.36,,480976.08,22.81,,10-30
1446,600070,浙江富润,0.27,8.0,,6.08,,14198.43,8.64,,10-30
1447,603709,中源家居,0.65,-30.85,,10.4,,4876.31,-13.62,,10-30
1448,600459,贵研铂业,0.35,2.94,,5.99,,12012.4,35.57,,10-30
1449,300065,海兰信,0.24,17.2,,6.92,,8518.29,16.53,,10-30
1450,603016,新宏泰,0.32,39.13,,5.71,,4712.15,38.64,,10-30
1451,002364,中恒电气,0.16,14.29,,3.84,,8904.14,10.78,,10-30
1452,002686,亿利达,0.17,-27.92,,5.02,,7685.94,-27.18,,10-30
1453,002059,云南旅游,0.0,-93.45,,0.16,,244.35,-93.36,,10-30
1454,600105,永鼎股份,0.09,-51.67,,3.92,,10672.24,-37.43,,10-30
1455,603797,联泰环保,0.27,12.5,,5.43,,5672.6,27.1,,10-30
1456,300097,智云股份,0.49,-18.83,,6.88,,14053.63,-14.99,,10-30
1457,603060,国检集团,0.63,30.67,,13.03,,13939.97,30.68,,10-30
1458,600121,郑州煤电,0.16,-73.39,,4.76,,16478.5,-73.22,,10-30
1459,300113,顺网科技,0.63,16.67,,14.13,,43832.62,18.18,,10-30
1460,600139,西部资源,-0.05,-80.17,0.57,-9.14,0.13,-3621.44,-80.16,,10-30
1461,300134,大富科技,-0.09,-81.01,,-1.32,,-6958.66,-81.01,,10-30
1462,002760,凤形股份,0.21,-223.53,,3.12,,1809.27,-224.24,,10-30
1463,000725,京东方A,0.1,-47.57,,3.92,,337906.67,-47.82,,10-30
1464,603926,铁流股份,0.53,-38.37,,5.76,,6404.34,-28.11,,10-30
1465,600580,卧龙电驱,0.35,-34.94,,7.69,,44557.78,-34.89,,10-30
1466,300166,东方国信,0.17,13.33,,4.07,,18243.38,15.99,,10-30
1467,603970,中农立华,0.57,-21.41,,10.95,,9071.82,25.08,,10-30
1468,600597,光明乳业,0.32,-25.54,,7.18,,39380.66,-25.53,,10-30
1469,603998,方盛制药,0.14,-17.65,,6.0,,6092.7,-19.23,,10-30
1470,300521,爱司凯,0.13,-37.07,,3.65,,1825.25,-37.09,,10-30
1471,000821,京山轻机,0.5,127.27,,13.36,,26853.44,153.66,,10-30
1472,601101,昊华能源,0.76,46.15,,11.5,,90762.9,44.23,,10-30
1473,000850,华茂股份,0.14,468.0,,3.14,,13383.17,463.54,,10-30
1474,603356,华菱精工,0.37,-24.49,,9.86,,4979.34,2.34,,10-30
1475,000061,农产品,0.03,1637.5,,0.99,,4723.41,1655.2,,10-30
1476,600671,天目药业,0.24,248.36,,36.27,,2973.29,248.2,,10-30
1477,002864,盘龙药业,0.53,4.67,,8.05,,4626.33,39.8,,10-30
1478,603386,广东骏亚,0.31,0.0,,9.81,,6352.9,29.68,,10-30
1479,000900,现代投资,0.53,22.09,,8.96,,80027.34,22.09,,10-30
1480,002562,兄弟科技,0.09,-80.43,,3.25,,7551.42,-69.89,,10-30
1481,000407,胜利股份,0.1,9.89,,4.07,,9035.59,12.31,,10-30
1482,600705,中航资本,0.25,13.64,,9.19,,220034.45,12.16,,10-30
1483,002898,赛隆药业,0.3,2.03,,7.45,,4734.07,0.87,,10-30
1484,002256,兆新股份,0.04,-20.0,,3.75,,8408.54,-7.69,,10-30
1485,300295,三六五网,0.43,4.88,,7.31,,8368.91,6.04,,10-30
1486,603578,三星新材,0.57,11.76,,9.85,,5040.34,17.83,,10-30
1487,600353,旭光股份,0.1,66.67,,4.83,,5328.06,72.71,,10-30
1488,002594,比亚迪,0.49,-48.96,,2.65,,152705.3,-45.3,,10-30
1489,600738,兰州民百,1.6,1042.14,3.84,51.75,0.04,125211.52,1042.98,10派3,10-30
1490,603602,纵横通信,0.22,-52.17,,3.79,,2454.68,-13.63,,10-30
1491,600371,万向德农,0.15,-0.68,,7.13,,3303.17,-1.08,,10-30
1492,600755,厦门国贸,0.7,-12.5,,10.46,,177339.2,10.39,,10-30
1493,000983,西山煤电,0.48,10.85,,8.09,,152270.55,10.86,,10-30
1494,601828,美凯龙,1.09,39.74,,9.77,,416023.56,46.5,,10-30
1495,600012,皖通高速,0.51,3.11,,8.84,,85175.18,3.12,,10-30
1496,600389,江山股份,0.87,197.31,,15.66,,25951.61,197.33,,10-30
1497,000552,靖远煤电,0.22,32.68,,6.97,,49267.08,32.67,,10-30
1498,600031,三一重工,0.63,168.22,,17.43,,488339.6,170.9,,10-30
1499,600409,三友化工,0.75,-1.82,,14.65,,154395.2,5.47,,10-30
1500,002558,巨人网络,0.49,-5.77,,11.14,,99303.49,-4.82,,10-30
1501,600701,*ST工新,-0.37,-275.94,,-9.47,,-38582.62,-276.05,,10-30
1502,603517,绝味食品,1.19,23.96,,17.86,,48718.37,29.03,,10-30
1503,000933,神火股份,0.15,-67.31,,4.81,,29162.71,-67.18,,10-30
