,c_name,0
84,融资融券,18
13,保险重仓,11
82,股权激励,11
57,次新股,10
7,业绩预升,10
3,QFII重仓,9
36,基金重仓,9
27,参股金融,8
29,含H股,8
15,信托重仓,7
77,社保重仓,6
8,业绩预降,5
91,重组概念,5
11,低碳经济,4
39,太阳能,4
55,本月解禁,4
40,央企50,4
22,出口退税,4
20,农村金融,4
45,成渝特区,3
31,国企改革,3
51,新三板,3
52,新能源,3
53,新零售,3
69,猪肉,3
88,超大盘,3
96,长株潭,3
65,海峡西岸,3
102,黄河三角,3
14,保障房,3
6,上海本地,3
2,O2O模式,3
0,3D打印,2
21,准ST股,2
10,京津冀,2
12,体育概念,2
67,深圳本地,2
56,核电核能,2
19,军民融合,2
74,电子支付,2
50,整体上市,2
49,摘帽概念,2
92,金融参股,2
47,抗癌,2
93,金融改革,2
4,ST板块,2
44,建筑节能,2
37,外资背景,2
34,基因概念,2
98,雄安新区,2
25,券商重仓,2
75,皖江区域,2
24,创投概念,2
41,奢侈品,2
95,锂电池,2
97,阿里概念,1
80,网络游戏,1
76,石墨烯,1
101,高校背景,1
100,食品安全,1
78,稀土永磁,1
99,风能,1
79,空气治理,1
9,云计算,1
81,聚氨酯,1
90,迪士尼,1
83,草甘膦,1
94,铁路基建,1
86,触摸屏,1
87,资产注入,1
5,三网融合,1
89,超级细菌,1
85,装饰园林,1
28,可燃冰,1
73,电商概念,1
54,智能家居,1
26,前海概念,1
32,土地流转,1
33,地热能,1
35,基因芯片,1
38,多晶硅,1
23,分拆上市,1
42,婴童概念,1
43,宽带提速,1
46,抗流感,1
48,振兴沈阳,1
1,IP变现,1
18,军工航天,1
17,内贸规划,1
72,甲型流感,1
16,充电桩,1
58,武汉规划,1
59,民营医院,1
60,民营银行,1
61,水域改革,1
62,汽车电子,1
63,油气改革,1
64,沿海发展,1
30,国产软件,1
68,燃料电池,1
70,生物疫苗,1
71,生物育种,1
66,海工装备,1
