,c_name,0
80,融资融券,16
24,参股金融,11
33,基金重仓,10
6,业绩预升,9
75,股权激励,9
9,保险重仓,8
85,金融参股,6
45,整体上市,6
21,券商重仓,5
3,QFII重仓,5
27,含H股,5
84,重组概念,4
81,资产注入,4
71,社保重仓,4
62,特斯拉,4
51,次新股,4
41,成渝特区,4
88,锂电池,4
46,新三板,4
92,黄河三角,4
10,保障房,4
19,分拆上市,4
7,业绩预降,4
20,创投概念,3
15,军民融合,3
48,新零售,3
2,O2O模式,3
8,低碳经济,3
72,粤港澳,3
55,油气改革,3
11,信托重仓,2
76,节能,2
59,深圳本地,2
14,军工航天,2
43,振兴沈阳,2
65,生物疫苗,2
60,燃料电池,2
50,核电核能,2
42,抗流感,2
87,铁路基建,2
22,前海概念,2
26,含B股,2
17,准ST股,2
37,奢侈品,2
29,国企改革,2
31,基因概念,2
18,出口退税,2
90,页岩气,2
86,金融改革,2
4,上海本地,2
5,上海自贸,2
69,石墨烯,1
68,甲型流感,1
91,风沙治理,1
70,碳纤维,1
67,生物质能,1
82,超大盘,1
74,聚氨酯,1
73,维生素,1
89,长株潭,1
77,节能环保,1
78,苹果概念,1
79,草甘膦,1
83,迪士尼,1
66,生物育种,1
56,沿海发展,1
64,生态农业,1
40,建筑节能,1
23,博彩概念,1
25,可燃冰,1
28,含可转债,1
30,地热能,1
32,基因芯片,1
16,农村金融,1
34,多晶硅,1
35,太阳能,1
36,央企50,1
38,婴童概念,1
39,安防服务,1
44,摘帽概念,1
63,猪肉,1
1,5G概念,1
47,新能源,1
49,本月解禁,1
13,内贸规划,1
52,民营医院,1
53,民营银行,1
54,氢燃料,1
57,海工装备,1
58,涉矿概念,1
61,物联网,1
12,养老概念,1
0,4G概念,1
