,c_name,0
12,电子信息,4
13,电子器件,3
2,农林牧渔,2
5,发电设备,2
10,汽车制造,2
0,传媒娱乐,1
1,其它行业,1
3,农药化肥,1
4,化工行业,1
6,塑料制品,1
7,家具行业,1
8,家电行业,1
9,机械行业,1
11,环保行业,1
