,c_name,0
21,军工航天,18
22,军民融合,14
29,参股金融,13
100,金融参股,12
94,融资融券,12
89,股权激励,12
10,业绩预降,11
9,业绩预升,11
99,重组概念,8
53,新三板,8
58,智能机器,6
74,物联网,6
12,云计算,5
91,节能环保,5
63,机器人概念,5
72,涉矿概念,5
65,次新股,5
52,整体上市,5
2,5G概念,5
69,污水处理,5
26,券商重仓,4
47,成渝特区,4
70,海峡西岸,4
73,深圳本地,4
1,4G概念,4
55,新零售,4
4,O2O模式,4
101,金融改革,3
30,含B股,3
56,智能交通,3
104,长株潭,3
11,丝绸之路,3
6,ST板块,3
7,三网融合,3
106,陕甘宁,3
76,生物疫苗,3
25,创投概念,3
82,社保重仓,2
84,空气治理,2
54,新能源,2
64,核电核能,2
71,海工装备,2
86,绿色照明,2
59,智能电网,2
60,智能穿戴,2
90,节能,2
49,抗癌,2
85,粤港澳,2
80,皖江区域,2
48,抗流感,2
31,固废处理,2
109,高校背景,2
8,上海本地,2
13,京津冀,2
14,低碳经济,2
16,保障房,2
107,雄安新区,2
18,充电桩,2
105,阿里概念,2
23,准ST股,2
28,卫星导航,2
27,前海概念,2
43,安防服务,2
102,铁路基建,2
35,基因概念,2
38,基金重仓,2
46,循环经济,2
33,图们江,2
103,锂电池,1
110,黄河三角,1
83,稀土永磁,1
92,苹果概念,1
95,触摸屏,1
97,赛马概念,1
108,食品安全,1
96,资产注入,1
81,碳纤维,1
87,聚氨酯,1
88,股期概念,1
93,草甘膦,1
98,送转潜力,1
0,3D打印,1
79,电子支付,1
78,甲型流感,1
3,IPV6概念,1
5,QFII重仓,1
15,体育概念,1
17,信托重仓,1
19,养老概念,1
20,内贸规划,1
24,分拆上市,1
32,国产软件,1
34,地热能,1
36,基因测序,1
37,基因芯片,1
39,外资背景,1
40,多晶硅,1
41,太阳能,1
42,婴童概念,1
44,宽带提速,1
45,建筑节能,1
50,振兴沈阳,1
51,摘帽概念,1
57,智能家居,1
61,未股改,1
62,本月解禁,1
66,武汉规划,1
67,民营银行,1
68,氢燃料,1
75,生态农业,1
77,生物育种,1
111,黄金概念,1
