,code,name,c_name
0,300291,华录百纳,体育概念
1,002265,西仪股份,军工航天
2,002265,西仪股份,重组概念
3,002265,西仪股份,准ST股
4,002549,凯美特气,空气治理
5,002549,凯美特气,信托重仓
6,002549,凯美特气,燃料电池
7,002549,凯美特气,业绩预升
8,002549,凯美特气,长株潭
9,000893,东凌国际,粤港澳
10,000893,东凌国际,准ST股
11,000893,东凌国际,股权激励
12,000893,东凌国际,业绩预升
13,002324,普利特,军民融合
14,002324,普利特,股权激励
15,300267,尔康制药,O2O模式
16,300267,尔康制药,新零售
17,300267,尔康制药,长株潭
18,300267,尔康制药,维生素
19,002081,金 螳 螂,O2O模式
20,002081,金 螳 螂,融资融券
21,002081,金 螳 螂,沿海发展
22,002081,金 螳 螂,新零售
23,002081,金 螳 螂,社保重仓
24,002081,金 螳 螂,装饰园林
25,002081,金 螳 螂,基金重仓
26,002081,金 螳 螂,股权激励
27,002081,金 螳 螂,体育概念
28,002780,三夫户外,体育概念
29,002699,美盛文化,本月解禁
30,002699,美盛文化,网络游戏
31,002699,美盛文化,参股金融
32,002699,美盛文化,婴童概念
33,002699,美盛文化,农村金融
34,002699,美盛文化,IP变现
35,300065,海兰信,军工航天
36,300065,海兰信,海工装备
37,300065,海兰信,军民融合
38,002177,御银股份,参股金融
39,002177,御银股份,电子支付
40,002177,御银股份,股权激励
41,002177,御银股份,农村金融
42,002177,御银股份,民营银行
43,300236,上海新阳,股权激励
44,300236,上海新阳,智能穿戴
45,300142,沃森生物,生物疫苗
46,300142,沃森生物,新三板
47,300142,沃森生物,股权激励
48,300142,沃森生物,婴童概念
49,002572,索菲亚,券商重仓
50,002572,索菲亚,股权激励
51,600745,闻泰科技,重组概念
52,600745,闻泰科技,养老概念
53,600745,闻泰科技,涉矿概念
54,300331,苏大维格,3D打印
55,300331,苏大维格,业绩预降
56,300527,华舟应急,次新股
57,300527,华舟应急,军工航天
58,300265,通光线缆,本月解禁
59,300265,通光线缆,军工航天
60,300265,通光线缆,军民融合
61,002514,宝馨科技,业绩预降
62,300189,神农基因,生态农业
63,300189,神农基因,生物育种
64,002337,赛象科技,股权激励
65,002337,赛象科技,业绩预升
66,300542,新晨科技,次新股
67,300542,新晨科技,军工航天
68,000520,长航凤凰,整体上市
69,000520,长航凤凰,准ST股
70,002565,顺灏股份,业绩预升
71,603602,纵横通信,5G概念
72,300566,激智科技,次新股
73,000810,创维数字,券商重仓
74,000810,创维数字,成渝特区
75,000766,通化金马,生物疫苗
76,000766,通化金马,参股金融
77,000766,通化金马,抗癌
78,000766,通化金马,图们江
79,002303,美盈森,军工航天
80,002303,美盈森,军民融合
81,002303,美盈森,业绩预升
82,002303,美盈森,物联网
83,300174,元力股份,海峡西岸
84,300174,元力股份,业绩预降
85,601558,*ST锐电,风能
86,601558,*ST锐电,风能概念
