,code,name,c_name
0,002104,恒宝股份,电子器件
1,000153,丰原药业,生物制药
2,002637,赞宇科技,化工行业
3,002058,威 尔 泰,仪器仪表
4,603306,华懋科技,汽车制造
5,600409,三友化工,化工行业
6,600578,京能电力,电力行业
7,000676,智度股份,仪器仪表
8,300205,天喻信息,电子器件
9,600565,迪马股份,房地产
10,000933,神火股份,煤炭行业
11,300314,戴维医疗,医疗器械
12,002276,万马股份,发电设备
13,002641,永高股份,塑料制品
14,300140,中环装备,电器行业
15,601117,中国化学,建筑建材
16,600137,浪莎股份,服装鞋类
17,601000,唐山港,交通运输
18,002177,御银股份,电子信息
19,002665,首航节能,电器行业
20,002247,帝龙文化,建筑建材
21,600730,中国高科,综合行业
22,600285,羚锐制药,生物制药
23,601992,金隅股份,水泥行业
24,600737,中粮糖业,食品行业
25,600131,岷江水电,电力行业
26,600657,信达地产,房地产
27,002403,爱仕达,家电行业
28,002031,巨轮智能,汽车制造
29,002251,步 步 高,商业百货
30,300442,普丽盛,机械行业
31,000852,石化机械,机械行业
32,002299,圣农发展,农林牧渔
33,601808,中海油服,石油行业
34,300041,回天新材,化工行业
35,002495,佳隆股份,食品行业
36,000590,启迪古汉,生物制药
37,600693,东百集团,商业百货
38,000035,中国天楹,电子信息
39,300155,安居宝,电子器件
40,601601,中国太保,金融行业
41,600778,友好集团,商业百货
42,600029,南方航空,交通运输
43,600182,S佳通,汽车制造
44,000002,万 科Ａ,房地产
45,600395,盘江股份,煤炭行业
46,601872,招商轮船,交通运输
47,000737,南风化工,化工行业
48,002129,中环股份,电子器件
49,300335,迪森股份,环保行业
50,000920,南方汇通,交通运输
51,000792,盐湖股份,农药化肥
52,000501,鄂武商Ａ,商业百货
53,002478,常宝股份,钢铁行业
54,300118,东方日升,电子器件
55,300142,沃森生物,生物制药
56,603222,济民制药,生物制药
57,600067,冠城大通,房地产
58,002420,毅昌股份,塑料制品
59,300129,泰胜风能,发电设备
60,002137,麦达数字,电子器件
61,002146,荣盛发展,房地产
62,300441,鲍斯股份,机械行业
63,600665,天地源,房地产
64,601005,*ST重钢,钢铁行业
65,002912,中新赛克,次新股
66,002458,益生股份,农林牧渔
67,002173,创新医疗,农林牧渔
68,300262,巴安水务,环保行业
69,000726,鲁 泰Ａ,纺织行业
70,300248,新开普,电子信息
71,000987,越秀金控,商业百货
72,300422,博世科,环保行业
73,001965,招商公路,次新股
74,600768,宁波富邦,有色金属
75,002087,新野纺织,纺织行业
76,603076,乐惠国际,次新股
77,600449,宁夏建材,水泥行业
78,000752,西藏发展,酿酒行业
79,000031,中粮地产,房地产
80,002638,勤上股份,电子器件
81,601998,中信银行,金融行业
82,600784,鲁银投资,钢铁行业
83,600360,华微电子,电子器件
84,600193,创兴资源,钢铁行业
85,600527,江南高纤,化纤行业
86,600721,百花村,煤炭行业
87,600243,青海华鼎,机械行业
88,600717,天津港,交通运输
89,600836,界龙实业,印刷包装
90,600127,金健米业,农林牧渔
91,600016,民生银行,金融行业
92,300396,迪瑞医疗,医疗器械
93,002243,通产丽星,塑料制品
94,600791,京能置业,房地产
95,600727,鲁北化工,农药化肥
96,300010,立思辰,电子信息
97,002305,南国置业,房地产
98,002539,云图控股,农药化肥
99,000157,中联重科,机械行业
100,000883,湖北能源,电力行业
101,002515,金字火腿,食品行业
102,002215,诺 普 信,农药化肥
103,000905,厦门港务,交通运输
104,000999,华润三九,生物制药
105,600256,广汇能源,综合行业
106,000599,青岛双星,汽车制造
107,600098,广州发展,电力行业
108,600509,天富能源,电力行业
109,600828,茂业商业,商业百货
110,300433,蓝思科技,电子器件
111,002209,达 意 隆,机械行业
112,000059,华锦股份,石油行业
113,600436,片仔癀,生物制药
114,600802,福建水泥,水泥行业
115,002746,仙坛股份,农林牧渔
116,000538,云南白药,生物制药
117,002022,科华生物,生物制药
118,000959,首钢股份,钢铁行业
119,601866,中远海发,交通运输
120,002353,杰瑞股份,机械行业
121,603123,翠微股份,商业百货
122,000813,德展健康,纺织行业
123,002521,齐峰新材,造纸行业
124,600033,福建高速,公路桥梁
125,600266,北京城建,房地产
126,600748,上实发展,房地产
127,000911,南宁糖业,食品行业
128,601636,旗滨集团,玻璃行业
129,002565,顺灏股份,造纸行业
130,600235,民丰特纸,造纸行业
131,600027,华电国际,电力行业
132,600750,江中药业,生物制药
133,300083,劲胜智能,电子器件
134,600731,湖南海利,农药化肥
135,002438,江苏神通,机械行业
136,603315,福鞍股份,机械行业
137,000068,华控赛格,电子器件
138,600639,浦东金桥,开发区
139,000810,创维数字,电子器件
140,603021,山东华鹏,玻璃行业
141,600107,美尔雅,服装鞋类
142,002922,伊戈尔,次新股
143,002053,云南能投,化工行业
144,300045,华力创通,电子信息
145,601288,农业银行,金融行业
146,600716,凤凰股份,房地产
147,601789,宁波建工,建筑建材
148,000671,阳 光 城,房地产
149,002591,恒大高新,机械行业
150,002913,奥士康,次新股
151,002653,海思科,生物制药
152,002136,安 纳 达,化工行业
153,002492,恒基达鑫,交通运输
154,600642,申能股份,电力行业
155,002398,建研集团,建筑建材
