,code,name,c_name
0,002324,普利特,军民融合
1,002324,普利特,股权激励
2,002506,协鑫集成,多晶硅
3,002506,协鑫集成,太阳能
4,300208,恒顺众昇,日韩贸易
5,300208,恒顺众昇,稀缺资源
6,300208,恒顺众昇,东亚自贸
7,300208,恒顺众昇,自贸区
8,300208,恒顺众昇,股权激励
9,300208,恒顺众昇,黄河三角
10,300208,恒顺众昇,物联网
11,300208,恒顺众昇,业绩预降
12,600486,扬农化工,沿海发展
13,600486,扬农化工,QFII重仓
14,600486,扬农化工,出口退税
15,600486,扬农化工,草甘膦
16,600486,扬农化工,业绩预升
17,002368,太极股份,整体上市
18,002368,太极股份,军工航天
19,002368,太极股份,重组概念
20,002368,太极股份,券商重仓
21,002368,太极股份,节能环保
22,002368,太极股份,云计算
23,002368,太极股份,军民融合
24,002368,太极股份,国产软件
25,002368,太极股份,汽车电子
26,002723,金莱特,锂电池
27,300174,元力股份,海峡西岸
28,300174,元力股份,业绩预降
29,002177,御银股份,参股金融
30,002177,御银股份,电子支付
31,002177,御银股份,股权激励
32,002177,御银股份,农村金融
33,002177,御银股份,民营银行
34,002699,美盛文化,本月解禁
35,002699,美盛文化,网络游戏
36,002699,美盛文化,参股金融
37,002699,美盛文化,婴童概念
38,002699,美盛文化,农村金融
39,002699,美盛文化,IP变现
40,002549,凯美特气,空气治理
41,002549,凯美特气,信托重仓
42,002549,凯美特气,燃料电池
43,002549,凯美特气,业绩预升
44,002549,凯美特气,长株潭
45,300291,华录百纳,体育概念
46,002265,西仪股份,军工航天
47,002265,西仪股份,重组概念
48,002265,西仪股份,准ST股
49,600093,易见股份,成渝特区
50,002514,宝馨科技,业绩预降
51,002714,牧原股份,猪肉
52,300579,数字认证,次新股
53,300567,精测电子,次新股
54,300079,数码科技,金融改革
55,300079,数码科技,宽带提速
56,300079,数码科技,三网融合
57,300079,数码科技,券商重仓
58,300079,数码科技,股权激励
59,601558,*ST锐电,风能
60,601558,*ST锐电,风能概念
61,300331,苏大维格,3D打印
62,300331,苏大维格,业绩预降
63,300290,荣科科技,云计算
64,300290,荣科科技,国产软件
65,002138,顺络电子,前海概念
66,002138,顺络电子,电子支付
67,002138,顺络电子,股权激励
68,300542,新晨科技,次新股
69,300542,新晨科技,军工航天
70,002780,三夫户外,体育概念
71,300189,神农基因,生态农业
72,300189,神农基因,生物育种
73,300527,华舟应急,次新股
74,300527,华舟应急,军工航天
