,code,name,c_name
0,603026,石大胜华,其它行业
1,002002,鸿达兴业,塑料制品
2,002353,杰瑞股份,机械行业
3,600702,沱牌舍得,酿酒行业
4,002478,常宝股份,钢铁行业
5,600677,航天通信,电子信息
6,000157,中联重科,机械行业
7,600855,航天长峰,机械行业
8,600256,广汇能源,综合行业
9,000723,美锦能源,煤炭行业
10,600529,山东药玻,玻璃行业
11,300146,汤臣倍健,食品行业
12,002091,江苏国泰,物资外贸
13,300068,南都电源,电器行业
14,002011,盾安环境,机械行业
15,600596,新安股份,农药化肥
16,600689,上海三毛,纺织行业
17,600673,东阳光科,有色金属
18,002216,三全食品,食品行业
19,000858,五 粮 液,酿酒行业
20,000036,华联控股,房地产
21,002756,永兴特钢,其它行业
22,002563,森马服饰,服装鞋类
23,002271,东方雨虹,建筑建材
24,002594,比亚迪,汽车制造
25,600600,青岛啤酒,酿酒行业
26,601318,中国平安,金融行业
27,000011,深物业A,房地产
28,000703,恒逸石化,化纤行业
29,600519,贵州茅台,酿酒行业
30,600277,亿利洁能,化工行业
31,000528,柳 工,机械行业
32,600346,恒力股份,机械行业
33,600789,鲁抗医药,生物制药
34,002705,新宝股份,家电行业
35,000963,华东医药,生物制药
36,600763,通策医疗,医疗器械
37,600115,东方航空,交通运输
38,600048,保利地产,房地产
39,600185,格力地产,房地产
40,600426,华鲁恒升,农药化肥
41,000860,顺鑫农业,酿酒行业
42,600352,浙江龙盛,化工行业
43,002713,东易日盛,建筑建材
44,002507,涪陵榨菜,食品行业
45,000568,泸州老窖,酿酒行业
46,600305,恒顺醋业,食品行业
47,000789,万年青,水泥行业
48,000423,东阿阿胶,生物制药
49,002419,天虹股份,商业百货
50,603338,浙江鼎力,机械行业
51,603198,迎驾贡酒,其它行业
52,002274,华昌化工,农药化肥
53,000597,东北制药,生物制药
54,600167,联美控股,供水供气
55,002677,浙江美大,家电行业
56,600782,新钢股份,钢铁行业
57,600258,首旅酒店,酒店旅游
58,300091,金通灵,机械行业
59,002258,利尔化学,农药化肥
60,600197,伊力特,酿酒行业
61,002372,伟星新材,建筑建材
