,code,name,c_name
0,300092,科新机电,机械行业
1,002369,卓翼科技,电子信息
2,000982,*ST 中绒,纺织行业
3,603698,航天工程,机械行业
4,000020,深华发Ａ,电子器件
5,002503,搜于特,服装鞋类
6,300142,沃森生物,生物制药
7,000547,航天发展,电子信息
8,600747,*ST大控,电子器件
9,000677,恒天海龙,化纤行业
10,600203,福日电子,电子器件
11,002564,天沃科技,机械行业
12,300007,汉威科技,仪器仪表
13,002582,好想你,食品行业
14,300189,神农基因,农林牧渔
15,300171,东富龙,医疗器械
16,000021,深科技,电子信息
17,002445,中南文化,机械行业
18,300131,英唐智控,电子器件
19,603818,曲美家居,家具行业
20,000005,世纪星源,房地产
21,300260,新莱应材,机械行业
22,002565,顺灏股份,造纸行业
23,600146,商赢环球,塑料制品
24,300301,长方集团,电子器件
25,600501,航天晨光,汽车制造
26,002106,莱宝高科,电子器件
27,600201,生物股份,生物制药
28,600476,湘邮科技,电子信息
29,000837,秦川机床,机械行业
30,300126,锐奇股份,机械行业
31,600038,中直股份,飞机制造
32,600992,贵绳股份,钢铁行业
33,002707,众信旅游,酒店旅游
34,300382,斯莱克,机械行业
35,002018,华信国际,农药化肥
36,601226,华电重工,机械行业
37,600787,中储股份,交通运输
38,000918,嘉凯城,房地产
39,002155,湖南黄金,有色金属
40,300154,瑞凌股份,电子器件
41,600664,哈药股份,生物制药
42,600206,有研新材,电子器件
43,600289,ST信通,电子信息
44,002194,武汉凡谷,电子信息
45,600778,友好集团,商业百货
46,300221,银禧科技,塑料制品
47,002513,蓝丰生化,农药化肥
48,600461,洪城水业,供水供气
49,600990,四创电子,电子信息
50,601515,东风股份,印刷包装
51,000826,启迪桑德,环保行业
52,300201,海伦哲,机械行业
53,002520,日发精机,机械行业
54,000893,东凌国际,食品行业
55,002303,美盈森,造纸行业
56,300174,元力股份,化工行业
57,600590,泰豪科技,发电设备
58,000045,深纺织Ａ,纺织行业
59,000766,通化金马,生物制药
60,300723,一品红,次新股
61,600638,新黄浦,房地产
62,601718,际华集团,服装鞋类
63,600212,江泉实业,综合行业
64,300414,中光防雷,电子器件
65,000625,长安汽车,汽车制造
66,002464,众应互联,塑料制品
67,600857,宁波中百,商业百货
68,002569,步森股份,服装鞋类
69,600701,工大高新,综合行业
70,300451,创业软件,其它行业
71,300265,通光线缆,电器行业
72,600745,闻泰科技,房地产
73,000810,创维数字,电子器件
74,002351,漫步者,电子信息
75,002135,东南网架,建筑建材
76,000156,华数传媒,传媒娱乐
77,002618,丹邦科技,电子器件
78,600728,佳都科技,电子信息
79,600734,实达集团,电子信息
80,600850,华东电脑,电子信息
81,300263,隆华节能,机械行业
82,002246,北化股份,化工行业
83,600149,*ST坊展,机械行业
84,603598,引力传媒,其它行业
85,002337,赛象科技,机械行业
86,600222,太龙药业,生物制药
87,000100,TCL 集团,家电行业
88,002118,紫鑫药业,生物制药
89,002189,利达光电,电子器件
90,300065,海兰信,电子信息
91,000519,中兵红箭,机械行业
