0,600482
1,600787
2,002699
3,603650
4,002155
5,300154
6,300142
7,603685
8,300723
9,002265
10,000158
11,600745
12,300065
13,300236
14,300291
15,600671
16,603232
17,000893
18,603936
19,603811
20,300382
21,002618
22,600547
23,000826
24,300542
25,300265
26,002565
27,002878
28,000677
29,603861
30,002081
31,000982
32,300500
33,603668
34,300260
35,002464
36,000766
37,603602
38,300189
39,002351
40,300566
41,600476
42,300174
43,000100
44,603138
45,002337
46,300468
47,603733
48,600489
49,002707
50,002445
51,300738
52,603555
53,603577
54,000810
55,300570
56,300267
57,600203
58,002755
59,002303
60,603908
61,601718
62,600572
63,002189
